Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Faroe Islands,FRO,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,1594.52271011187,1748.73404167402,1778.62715686756,1732.30578439189,1844.37838169653,2210.8843537415,2553.17883877922,3036.22780926119,4056.67150967699,4896.14249907534,5597.50987086296,6588.16060431035,8384.52073564445,9480.11521230815,10553.0629242592,11451.0684258191,10461.2138355745,10054.5126193302,10893.5755826788,9438.54801577864,10078.0533449333,14972.8171280411,19074.1360744953,20626.0132654074,18360.3990394801,20236.428925417,19424.3369969254,19838.5048000409,16874.1615610619,17192.8843355503,20577.6671574177,22419.1606928062,20985.7980311412,24623.743124955,24947.1235837634,23370.7737767844,25089.5926494304,27238.0255328878,31691.880082905,35940.9608625712,36440.3221972404,41762.6898536453,48365.735061209,51431.9730976048,47410.9556269077,48167.6675141519,51786.480991824,50157.0587890212,55560.1330274996,60126.1256426858,52726.6873782078,56833.9165410522,59328.2376643374,62576.8016380509,63203.7447848956,62234.9686802048,69108.2065823035,66979.2773224808
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,1179.35301099994,1327.427224366,1411.70239818044,1522.3192420995,1707.50393824701,1882.08685764849,2010.21345619725,2034.18904965478,1907.07727217667,2178.03525044982,2465.64481862422,2716.19009222861,3177.64570093734,4173.17304749428,5297.60781739462,6255.54464076423,6739.69071253255,7069.10573825616,7628.81571424906,9332.24526383769,11223.937563528,10926.817966566,10938.122061411,10497.479996566,10833.8662886935,11398.1059531509,14951.0467852887,18571.0599253579,22047.7933222595,23973.2394840041,28364.6450765922,25484.7392935746,22319.059460246,17608.8123902264,20301.333085866,26271.5998141691,25783.4504878611,24691.8728133698,26009.2694886182,26186.1900105755,24345.9148217032,24967.7925153182,26997.7529897788,32927.6802919408,37772.1781110398,39054.8504423825,41222.6020004611,48476.3927287052,53772.7942390019,47481.4845364339,46505.3031791811,51148.9316365833,47708.0612784469,49892.2233632732,50327.2402902632,42801.9081167285,43814.0265056965,46412.1364777169,49987.6261584968,48629.8582283032,49169.7193388499,53559.9776765847,50916.2804653208
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,1333.88157286682,1430.43462423276,1585.73531130188,1758.85665897749,1928.99940153416,2060.29971514635,2209.0001728109,2363.66966905413,2553.97584327959,2767.61543140447,2870.15751000611,3180.3374404808,3865.92540043539,4984.19668411585,5345.92156814952,6717.43948868856,6899.06957775716,7566.66255936088,9299.77404965756,11213.0236211621,12738.5200524368,11116.86105785,10501.6091345216,9998.97521903088,9430.06964816743,9778.08530538681,13566.6607729285,16340.7259713299,17727.5108342779,17747.5815980944,21865.5552539348,21675.7060879719,23814.227367599,22380.331904695,23496.367675721,26889.4250554833,26870.2852380937,24226.8846867539,24971.5744885632,24678.3910613218,22416.425417915,22449.3396931175,24288.2700193508,29627.92426353,33797.1624418436,34768.1759037525,36470.2128399313,41557.6235648179,45515.9617533473,41737.7635518137,40676.0647913181,43846.4660764798,40870.8523645734,42602.7179652667,43068.5487241739,36652.9223052178,37062.5335723829,38781.0494870836,41557.8548588876,40494.8982936276,39179.7442596057,43671.3084099631,40886.2532680273
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1561.84922948771,1323.43514133874,765.36370165179,550.040007880477,519.857581188288,578.344609852583,689.05944138472,807.032285752352,851.515542450841,673.537782887275,749.908534993961,801.98383707929,853.526171868939,1010.03151630868,1305.04748557208,1642.78359414797,1996.02013272284,2635.36650276116,3324.7537205015,2822.68939668797,3233.21975246843,4021.75522955035,4421.930711904,4623.88471369397,4739.27691304547,4014.11165137641,4062.12697838612,4356.92801624893,4722.0424231414,4696.15058555612,4255.74299321254,5023.27438368985,6674.95695994589
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,2761.16683289339,3192.13361563743,3809.98144489456,5046.75510305815,5639.07762129679,6236.3588812986,6634.85689909309,7682.95377492882,9482.04284964716,11281.0233245081,12138.3081034267,10209.0731153846,9913.73764159395,9864.3449403866,9313.16941243118,9429.56921688214,13461.8310034147,16677.51078816,17931.2823228876,17764.376445833,22303.9613266628,23357.757725073,26438.2303888417,25522.6295733618,27076.60675014,31658.3493789135,30485.8665482279,26964.0494672673,27289.0593603191,26734.9425369252,23694.7604830673,23628.3272122367,25197.2656001848,30310.3575963774,34106.6581224001,34520.2396492496,36353.8803343631,41640.0808695147,45612.7106221441,41650.3678297162,41572.4559481507,46705.8957963353,43855.8544658618,46298.9229177341,48023.8699845462,41103.2564363768,42136.1207907991,44652.5891722719,47939.2782884504,46805.1384334439,46749.4762280016,51426.7503654421,48717.9911402128
Gibraltar,GIB,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,520.322744310383,590.780054812393,617.057757690519,695.228624389878,783.705880998279,899.281238912995,997.430467475556,1068.11455622703,1154.43853055613,1324.05898884761,1494.38798449137,1652.32595586747,1899.67578389335,2502.81474512238,2828.74855899504,3153.23577562809,3390.54497596312,3886.37445146759,4694.6337817198,5705.94937054811,5893.66189269128,5380.26761963211,5579.23461523759,5019.87877056877,4852.56566737719,4813.71120474694,5656.50533164528,6564.88442712193,7598.02800548468,7846.67812242278,9600.18523506603,10188.3697801238,11176.4584190614,10401.9830146096,11091.2838472779,12959.3242908115,13749.1151120679,13427.8325055002,13472.1376092623,13249.6633239242,12072.9293569196,12549.036894906,14177.5721592705,18518.3788387396,21995.477943746,22560.1472939077,24821.9367451879,28863.9732885018,32127.9831943287,29828.7560245271,26716.6488260274,25483.8825644931,21912.9982879517,21787.7877636035,21616.7100094908,18083.8779056547,17923.9668134716,18582.0893411631,19756.990456255,19143.8876174584,17617.2915057014,20310.6824798873,20867.2690861087
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,1498.27643678161,1874.29530190099,2196.71424019198,2860.28057640115,3432.70603291276,4257.87561148406,4844.65629347485,5713.96253360554,7235.5169393433,8480.76253105822,9483.10240585198,8544.09791016512,7813.65128212172,7988.17794662988,7198.7078081665,7760.83426370628,11271.3325735884,14554.3513669736,16397.9501938761,16813.7414501107,18326.9295023252,18315.3165631906,18768.8275325455,16797.3578218828,18124.0998075763,21665.8295173116,21422.4609853672,19145.614890096,20496.578783559,20170.322763798,19004.0038435698,19275.4339659556,20652.8417042443,27459.8753295461,32023.6820516137,32489.7277309899,35458.2542977474,39780.9441368721,44366.7858688175,44918.8413832155,43988.5280290494,47186.8759969388,45936.9562817724,47535.4883792376,50485.2244135291,44536.3549705377,48181.7453541266,50765.7494665372,54545.135857765,53309.2035905065,54693.0766804265,57116.295770722,..
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3350.25832349229,3735.10582034276,3873.98772279767,4173.37302405441,4494.70762405948,4525.03910312241,4596.18262235195,4744.21226429639,4793.47852203763,4624.28165670295,5276.03318905496,6655.33300865319,8419.43087098103,10301.7033946743,11223.3993032598,11489.5608654088,13940.9092761999,15772.3300839383,13077.305465178,13217.5045951108,14234.471576937,12984.8365730133,13715.0703590361,14294.2584180751,12717.038597002,13104.6995457458,14621.2395956755,16425.2050299693,16786.2136399075,16125.6094085407,18753.0469453539,18390.1849993244
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,1414.98226940621,1418.12586971526,1562.23073045837,1831.70565581972,2297.9206432038,2723.52094989073,3215.69417804329,3125.64949185014,2354.48002671305,2039.19629517262,2576.35344434276,3252.09917788448,4014.84273017558,5437.34252541217,7040.55404419726,6454.17715159378,7583.27529804327,9957.25443433463,11236.735735064,12640.6408128355,14821.8150912707,15137.2538408683,13711.7362718597,11671.8092292119,11959.5400102921,12361.1870365183,16406.04794507,22453.1882283809,24451.9733172334,22434.3467683494,25384.9150226302,26802.9895156678,27124.2745379594,23579.7953612417,24018.6313967189,26633.5913761549,27614.8770273122,27919.1854966562,31030.0535989181,32381.6252356488,32096.3722613695,28897.4439396908,32409.2161491753,39476.6978486684,47334.9306537723,56794.8501588953,57492.9342498703,69495.7267376825,56943.3704468563,41301.273219718,43237.0729488958,47714.5922308485,45995.5478789467,49804.9829978371,54576.7448146565,52951.6815110898,61987.9263620283,72010.1490316258,74452.1890731447,68452.23622306,58848.41812446,68710.2442005473,73466.7786674708
